"plotID","DBH","species","height","BAL","PC1_cat","plotID_PC1_cat"
"plot_1784",35.8,"PCAB",22.9,71.8311721295332,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",21.6,"PCAB",10.8,64.8516805352406,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",19,"PCAB",12.5,79.7419677387719,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",45,"PCAB",27.4,45.8867254332354,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",69.6,"PCAB",27.4,0,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",51.2,"PCAB",26,30.1037924548382,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",66.4,"PCAB",25.7,12.1365303676727,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1784",66.4,"PCAB",25.2,12.1365303676727,"2.37_3.19","plot_1784_2.37_3.19"
"plot_1684",12.2,"PCAB",7.4,46.4849460926152,"2.37_3.19","plot_1684_2.37_3.19"
"plot_1684",50,"PCAB",24.3,7.76476040261253,"2.37_3.19","plot_1684_2.37_3.19"
"plot_1684",55.2,"PCAB",25.5,0,"2.37_3.19","plot_1684_2.37_3.19"
"plot_1684",53.6,"PCAB",26.6,3.9965431650636,"2.37_3.19","plot_1684_2.37_3.19"
"plot_1684",36.7,"PCAB",20,36.5048008775661,"2.37_3.19","plot_1684_2.37_3.19"
"plot_1892",29.8,"PCAB",13.6,0,"2.37_3.19","plot_1892_2.37_3.19"
"plot_1892",48,"PCAB",19.7,3.48732492511735,"2.37_3.19","plot_1892_2.37_3.19"
"plot_1892",44.2,"PCAB",21.9,27.5973954353647,"2.37_3.19","plot_1892_2.37_3.19"
"plot_1892",39.5,"PCAB",18.4,27.5973954353647,"2.37_3.19","plot_1892_2.37_3.19"
"plot_1512",48.8,"PCAB",23.8,15.5276976604684,"2.37_3.19","plot_1512_2.37_3.19"
"plot_1512",38.1,"PCAB",21.6,42.8825491053664,"2.37_3.19","plot_1512_2.37_3.19"
"plot_1512",26.4,"PCAB",19.8,27.2829794233461,"2.37_3.19","plot_1512_2.37_3.19"
"plot_1512",53.2,"PCAB",22.3,8.2141327947644,"2.37_3.19","plot_1512_2.37_3.19"
"plot_1512",12.4,"PCAB",4.5,53.3554520285737,"2.37_3.19","plot_1512_2.37_3.19"
"plot_2008",75.9,"PCAB",39,10.2961247584615,"2.37_3.19","plot_2008_2.37_3.19"
"plot_2008",62,"PCAB",37.3,17.8520891799099,"2.37_3.19","plot_2008_2.37_3.19"
"plot_2008",76.8,"PCAB",37.7,29.2594796902487,"2.37_3.19","plot_2008_2.37_3.19"
"plot_2008",63.2,"PCAB",34.3,29.2594796902487,"2.37_3.19","plot_2008_2.37_3.19"
"plot_2008",44.5,"PCAB",30.8,26.6621542194255,"2.37_3.19","plot_2008_2.37_3.19"
"plot_1510",51.2,"PCAB",28.5,22.6409526936239,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",56.8,"PCAB",31,10.3976962188633,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",39.4,"PCAB",23.7,35.4129756544584,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",56.5,"PCAB",33.1,14.6292807798978,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",48.6,"PCAB",30.9,29.3452068422613,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",60.2,"PCAB",27.2,5.64435123753153,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",65.6,"PCAB",30.9,0,"2.37_3.19","plot_1510_2.37_3.19"
"plot_1510",71.7,"PCAB",30.5,44.0802085766776,"2.37_3.19","plot_1510_2.37_3.19"
"plot_2156",72.2,"PCAB",25.6,0,"2.37_3.19","plot_2156_2.37_3.19"
"plot_2156",43.5,"PCAB",20.5,26.9163610584593,"2.37_3.19","plot_2156_2.37_3.19"
"plot_932",11.1,"PCAB",7.7,50.6654899832051,"2.37_3.19","plot_932_2.37_3.19"
"plot_932",13.8,"PCAB",12.1,43.2152930118464,"2.37_3.19","plot_932_2.37_3.19"
"plot_932",27.4,"PCAB",18.3,6.78866756514218,"2.37_3.19","plot_932_2.37_3.19"
"plot_932",31,"PCAB",16.5,35.1660064165799,"2.37_3.19","plot_932_2.37_3.19"
"plot_932",31.8,"PCAB",17,46.1127053764359,"2.37_3.19","plot_932_2.37_3.19"
"plot_844",38.9,"PCAB",25.2,19.11361660155,"2.37_3.19","plot_844_2.37_3.19"
"plot_844",34,"PCAB",19.4,23.5345134573501,"2.37_3.19","plot_844_2.37_3.19"
"plot_848",52.4,"PCAB",26.1,7.76520635168971,"2.37_3.19","plot_848_2.37_3.19"
"plot_848",49.9,"PCAB",26.3,11.3665861697771,"2.37_3.19","plot_848_2.37_3.19"
"plot_1690",39.9,"PCAB",26,12.013736977657,"2.37_3.19","plot_1690_2.37_3.19"
"plot_1690",18.6,"PCAB",13,19.3579674004916,"2.37_3.19","plot_1690_2.37_3.19"
"plot_1690",39.4,"PCAB",19.1,14.1018410669413,"2.37_3.19","plot_1690_2.37_3.19"
"plot_1690",49.4,"PCAB",27.5,3.21378448927388,"2.37_3.19","plot_1690_2.37_3.19"
"plot_1690",49.5,"PCAB",22.1,0,"2.37_3.19","plot_1690_2.37_3.19"
"plot_1592",61.9,"PCAB",28.9,6.10063584037965,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",47.6,"PCAB",30,18.9264198552774,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",34.3,"PCAB",20.9,30.9363603752922,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",68.2,"PCAB",27.7,0,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",30.5,"PCAB",21.5,35.2949354941276,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",45.4,"PCAB",27.3,21.8982245055854,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1592",51.5,"PCAB",28.9,15.4476891495631,"2.02_2.37","plot_1592_2.02_2.37"
"plot_1340",44.6,"PCAB",23.5,13.1367285670342,"2.02_2.37","plot_1340_2.02_2.37"
"plot_1998",56.8,"PCAB",22.5,7.45674075177646,"2.02_2.37","plot_1998_2.02_2.37"
"plot_1998",45.1,"PCAB",22,21.3245032423553,"2.02_2.37","plot_1998_2.02_2.37"
"plot_1998",13.7,"PCAB",10,69.705808908457,"2.02_2.37","plot_1998_2.02_2.37"
"plot_1998",31.7,"PCAB",24,64.8518156237247,"2.02_2.37","plot_1998_2.02_2.37"
"plot_1998",29,"PCAB",18.4,15.0998357532156,"2.02_2.37","plot_1998_2.02_2.37"
"plot_928",67.4,"PCAB",30.2,0,"2.02_2.37","plot_928_2.02_2.37"
"plot_1508",17.5,"PCAB",12.5,34.593437960774,"2.02_2.37","plot_1508_2.02_2.37"
"plot_1508",33.4,"PCAB",20.9,29.1248300080982,"2.02_2.37","plot_1508_2.02_2.37"
"plot_846",53,"PCAB",34.5,0,"2.02_2.37","plot_846_2.02_2.37"
"plot_846",45.3,"PCAB",33.7,6.65411315178893,"2.02_2.37","plot_846_2.02_2.37"
"plot_1506",37.6,"PCAB",22.4,18.4521530116996,"2.02_2.37","plot_1506_2.02_2.37"
"plot_1504",49.7,"PCAB",27.1,32.5636475645469,"2.02_2.37","plot_1504_2.02_2.37"
"plot_1504",60.2,"PCAB",30.4,16.3108367045886,"2.02_2.37","plot_1504_2.02_2.37"
"plot_1504",55.9,"PCAB",28.3,21.0641816859204,"2.02_2.37","plot_1504_2.02_2.37"
"plot_1504",66.2,"PCAB",29.8,0,"2.02_2.37","plot_1504_2.02_2.37"
"plot_1504",62.6,"PCAB",31.5,11.1709325702403,"2.02_2.37","plot_1504_2.02_2.37"
"plot_1012",23.2,"PCAB",14.3,5.07621839639325,"2.02_2.37","plot_1012_2.02_2.37"
"plot_1012",24.6,"PCAB",15.4,2.69976063358525,"2.02_2.37","plot_1012_2.02_2.37"
"plot_1012",16.2,"PCAB",6.7,10.8407346104468,"2.02_2.37","plot_1012_2.02_2.37"
"plot_150",47.6,"PCAB",16.5,7.11935215763776,"2.02_2.37","plot_150_2.02_2.37"
"plot_150",56.1,"PCAB",20.9,0,"2.02_2.37","plot_150_2.02_2.37"
"plot_150",31,"PCAB",13,31.85512111033,"2.02_2.37","plot_150_2.02_2.37"
"plot_150",19.4,"PCAB",6.6,38.0371769791942,"2.02_2.37","plot_150_2.02_2.37"
"plot_150",27.6,"PCAB",13.4,4.12792763288956,"2.02_2.37","plot_150_2.02_2.37"
"plot_1978",33.5,"PCAB",22.3,12.5254405315515,"2.02_2.37","plot_1978_2.02_2.37"
"plot_1978",23.1,"PCAB",19.8,4.92004825478698,"2.02_2.37","plot_1978_2.02_2.37"
"plot_1978",30,"PCAB",25,16.4881024052443,"2.02_2.37","plot_1978_2.02_2.37"
"plot_1978",37.9,"PCAB",26.6,8.96978361002409,"2.02_2.37","plot_1978_2.02_2.37"
"plot_1978",35.7,"PCAB",26.7,10.8538004157533,"2.02_2.37","plot_1978_2.02_2.37"
"plot_1878",15.5,"PCAB",11.3,28.2980398692332,"2.02_2.37","plot_1878_2.02_2.37"
"plot_1914",71.6,"PCAB",35.3,15.2715261479288,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",47,"PCAB",28.8,70.0340824071307,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",36.7,"PCAB",19.4,91.8043571481384,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",27.6,"PCAB",19.5,67.0426578823825,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",59.2,"PCAB",37.8,26.9564543780637,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",53.7,"PCAB",31.1,44.0239486212778,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",11.4,"PCAB",9.1,98.9515633338313,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",72.3,"PCAB",35.2,8.41533452546723,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1914",80.1,"PCAB",37.2,0,"2.02_2.37","plot_1914_2.02_2.37"
"plot_1678",41.9,"PCAB",29.1,19.7153582794362,"2.02_2.37","plot_1678_2.02_2.37"
"plot_1678",26.5,"PCAB",23,9.57280407319994,"2.02_2.37","plot_1678_2.02_2.37"
"plot_1192",21.9,"PCAB",16.4,38.7715268537847,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1192",60.9,"PCAB",33,0,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1192",52.2,"PCAB",37.9,17.9219457912347,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1192",40.6,"PCAB",33.3,34.6349556784875,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1192",13.8,"PCAB",9,44.7000369532492,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1192",38,"PCAB",28.6,43.7530509717144,"2.02_2.37","plot_1192_2.02_2.37"
"plot_1910",43.2,"PCAB",34.9,40.3882513016797,"1.81_2.02","plot_1910_1.81_2.02"
"plot_1910",34,"PCAB",28.5,64.721075496552,"1.81_2.02","plot_1910_1.81_2.02"
"plot_1910",20,"PCAB",20,61.580066236718,"1.81_2.02","plot_1910_1.81_2.02"
"plot_1910",50.8,"PCAB",33.6,8.00464165768581,"1.81_2.02","plot_1910_1.81_2.02"
"plot_1910",50.6,"PCAB",30.1,11.3894476180571,"1.81_2.02","plot_1910_1.81_2.02"
"plot_1604",49.3,"PCAB",32.3,3.27986200025591,"1.81_2.02","plot_1604_1.81_2.02"
"plot_1604",20,"PCAB",18.8,32.8296490419597,"1.81_2.02","plot_1604_1.81_2.02"
"plot_1604",36,"PCAB",31.8,29.541377940648,"1.81_2.02","plot_1604_1.81_2.02"
"plot_1604",45.7,"PCAB",33.3,9.5685201974575,"1.81_2.02","plot_1604_1.81_2.02"
"plot_1604",25.5,"PCAB",26,14.9638351076843,"1.81_2.02","plot_1604_1.81_2.02"
"plot_1190",30.5,"PCAB",19.3,4.13676618966117,"1.81_2.02","plot_1190_1.81_2.02"
"plot_1190",17.4,"PCAB",11.9,5.64914263756715,"1.81_2.02","plot_1190_1.81_2.02"
"plot_1190",30.7,"PCAB",18.3,6.87374644951074,"1.81_2.02","plot_1190_1.81_2.02"
"plot_1190",10.5,"PCAB",7.7,7.63988441155692,"1.81_2.02","plot_1190_1.81_2.02"
"plot_1100",47.2,"PCAB",27.6,0,"1.81_2.02","plot_1100_1.81_2.02"
"plot_1100",17.5,"PCAB",15.1,24.7587552007404,"1.81_2.02","plot_1100_1.81_2.02"
"plot_1100",40.1,"PCAB",28.3,5.82741309809327,"1.81_2.02","plot_1100_1.81_2.02"
"plot_1100",33.4,"PCAB",23.9,19.1501298407062,"1.81_2.02","plot_1100_1.81_2.02"
"plot_2152",53.3,"PCAB",26.6,3.75416984161786,"1.81_2.02","plot_2152_1.81_2.02"
"plot_2152",41.8,"PCAB",24.1,26.936714966023,"1.81_2.02","plot_2152_1.81_2.02"
"plot_2152",39.4,"PCAB",21.4,33.3651524378599,"1.81_2.02","plot_2152_1.81_2.02"
"plot_2152",20.5,"PCAB",13.3,39.0244924495611,"1.81_2.02","plot_2152_1.81_2.02"
"plot_2152",18,"PCAB",17.5,47.6678135319966,"1.81_2.02","plot_2152_1.81_2.02"
"plot_1894",69.2,"PCAB",30.6,0,"1.81_2.02","plot_1894_1.81_2.02"
"plot_1894",51.8,"PCAB",29.4,10.6173786039703,"1.81_2.02","plot_1894_1.81_2.02"
"plot_1894",57.5,"PCAB",34.5,6.2808517321565,"1.81_2.02","plot_1894_1.81_2.02"
"plot_1894",51.7,"PCAB",32.1,14.1367562564544,"1.81_2.02","plot_1894_1.81_2.02"
"plot_196",19.1,"PCAB",11.4,24.1395396703556,"1.81_2.02","plot_196_1.81_2.02"
"plot_196",22.7,"PCAB",12.9,16.8463062498279,"1.81_2.02","plot_196_1.81_2.02"
"plot_196",32.9,"PCAB",16.4,25.5721451903007,"1.81_2.02","plot_196_1.81_2.02"
"plot_196",21.7,"PCAB",14,18.8698453479133,"1.81_2.02","plot_196_1.81_2.02"
"plot_196",14.5,"PCAB",10.2,28.2604573890174,"1.81_2.02","plot_196_1.81_2.02"
"plot_1096",37.1,"PCAB",18.3,6.62880817274298,"1.81_2.02","plot_1096_1.81_2.02"
"plot_1096",45,"PCAB",18.7,0,"1.81_2.02","plot_1096_1.81_2.02"
"plot_1096",51.9,"PCAB",23.6,8.43412808249973,"1.81_2.02","plot_1096_1.81_2.02"
"plot_1792",79.3,"PCAB",41.1,0,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",74.3,"PCAB",41.5,16.1259645798001,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",70.4,"PCAB",35.3,30.0345654186811,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",56.9,"PCAB",36,51.5812640061071,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",71.3,"PCAB",35.5,23.3667217005802,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",57.6,"PCAB",28.3,47.2296404464159,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",47.5,"PCAB",36.2,66.1920510154514,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",51.2,"PCAB",37.5,59.539946676545,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",42,"PCAB",34.8,71.6105159292434,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",64,"PCAB",38.1,36.5351388843926,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",77.5,"PCAB",38.8,8.24807738922718,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1792",63.7,"PCAB",40.5,41.9075136494435,"1.81_2.02","plot_1792_1.81_2.02"
"plot_1602",85.3,"PCAB",40.4,0,"1.81_2.02","plot_1602_1.81_2.02"
"plot_1602",68,"PCAB",43.2,16.6291000680504,"1.81_2.02","plot_1602_1.81_2.02"
"plot_1602",73.5,"PCAB",43.9,9.54342829693328,"1.81_2.02","plot_1602_1.81_2.02"
